ward,menu_package,address,cost,cost_numeric
6,Street Speed Hump Menu (2024),ON E 72ND ST FROM S STATE ST (0 E) TO S DR MARTIN LUTHER KING JR DR (400 E),"$14,640.00",14640.0
6,Street Speed Hump Menu (2024),ON E 73RD ST FROM S MICHIGAN AVE (100 E) TO S COTTAGE GROVE AVE (800 E),"$29,280.00",29280.0
6,Street Speed Hump Menu (2024),ON E 78TH ST FROM S PRAIRIE AVE (300 E) TO S CALUMET AVE (340 E),"$2,440.00",2440.0
6,Street Speed Hump Menu (2024),ON E 84TH ST FROM S CALUMET AVE (340 E) TO S DR MARTIN LUTHER KING JR DR (400 E),"$2,440.00",2440.0
6,Street Speed Hump Menu (2024),ON E 84TH ST FROM S MICHIGAN AVE (100 E) TO S PRAIRIE AVE (300 E),"$4,880.00",4880.0
6,Street Speed Hump Menu (2024),ON E 84TH ST FROM S VERNON AVE (440 E) TO S ST LAWRENCE AVE (599 E),"$4,880.00",4880.0
6,Street Speed Hump Menu (2024),ON E 85TH ST FROM S INDIANA AVE (200 E) TO S PRAIRIE AVE (300 E),"$2,440.00",2440.0
6,Street Speed Hump Menu (2024),ON E 85TH ST FROM S MICHIGAN AVE (100 E) TO S WABASH AVE (50 E),"$2,440.00",2440.0
6,Street Speed Hump Menu (2024),ON E 86TH ST FROM S STATE ST (0 E) TO S ST LAWRENCE AVE (600 E),"$21,960.00",21960.0
6,Street Speed Hump Menu (2024),ON E 90TH ST FROM S PRAIRIE AVE (300 E) TO S CALUMET AVE (340 E),"$2,440.00",2440.0
6,Street Speed Hump Menu (2024),ON E 91ST ST FROM S PRAIRIE AVE (300 E) TO S DR MARTIN LUTHER KING JR DR (400 E),"$4,880.00",4880.0
6,Street Speed Hump Menu (2024),ON S CALUMET AVE FROM E 75TH ST (7500 S) TO E 76TH ST (7600 S),"$4,880.00",4880.0
6,Street Speed Hump Menu (2024),ON S CALUMET AVE FROM E 78TH ST (7800 S) TO E 79TH ST (7900 S),"$4,880.00",4880.0
